Benchmark: scene=water-caustic normal=1000 caustic=1000 
 
Executable                Time(ms) 
------------------------- -------- 
pathTracer_kglobal_4 36.2159 
pathTracer_kglobal_16 59.1364 
pathTracer_kglobal_64 438.367 
pathTracer_kglobal_128 931.726 
pathTracer_kglobal_256 DNF 
pathTracer_kcaustic_4 94.8447 
pathTracer_kcaustic_16 96.9508 
pathTracer_kcaustic_64 109.544 
pathTracer_kcaustic_128 116.562 
pathTracer_kcaustic_256 DNF 
 
Summary Table 
------------------------- -------- 
